metric,value
deposit,1600000.0
netProfit,206059.0
netPct,12.8786875
profitFactor,1.0535170919970704
trades,1181
maxDDpct,11.21592793143636
expectancy,174.47840812870476
nYears,11
posYears,6
posFrac,0.5454545454545454
worstYearPct,-5.37875
score,-20.327439295072722
YEARS,
2016,20177.0
2017,15529.0
2018,-28466.0
2019,79766.0
2020,-17336.0
2021,17669.0
2022,173028.0
2023,-5047.0
2024,113179.0
2025,-18890.0
2026,-86060.0
