close_time,type,volume,price,profit,swap,commission,reason
2016.01.06 03:19,closebuy,0.1,84.856,11310.0,-134.0,-21.0,5
2016.01.07 03:37,closebuy,0.1,83.062,9220.0,0.0,-21.0,5
2016.01.08 03:15,closebuy,0.1,83.727,-10020.0,0.0,-21.0,4
2016.01.11 21:10,closebuy,0.1,81.909,2000.0,0.0,-20.0,4
2016.01.12 13:37,closesell,0.1,82.207,2000.0,0.0,-21.0,4
2016.01.14 11:34,closebuy,0.1,81.737,2000.0,0.0,-20.0,4
2016.01.15 09:04,closesell,0.1,81.498,-6250.0,0.0,-20.0,4
2016.01.19 07:35,closesell,0.1,81.286,9650.0,0.0,-20.0,5
2016.01.20 05:52,closesell,0.1,80.21,-8320.0,0.0,-20.0,4
2016.01.20 15:53,closebuy,0.1,80.361,2000.0,-268.0,-20.0,4
2016.01.21 18:05,closebuy,0.1,81.724,-9590.0,0.0,-20.0,4
2016.01.25 09:26,closesell,0.1,83.058,2000.0,0.0,-21.0,4
2016.01.26 15:35,closebuy,0.1,82.896,-5450.0,0.0,-21.0,4
2016.01.27 09:20,closesell,0.1,83.016,2000.0,0.0,-21.0,4
2016.01.28 10:20,closesell,0.1,84.162,8030.0,0.0,-21.0,5
2016.02.02 05:46,closesell,0.1,85.663,2000.0,62.0,-21.0,4
2016.02.03 17:11,closebuy,0.1,83.799,6360.0,0.0,-21.0,5
2016.02.08 17:19,closebuy,0.1,81.909,13240.0,0.0,-20.0,5
2016.02.09 10:23,closebuy,0.1,81.279,3370.0,0.0,-20.0,5
2016.02.10 04:15,closebuy,0.1,81.124,2000.0,0.0,-20.0,4
2016.02.15 04:53,closebuy,0.1,81.32,-14450.0,-134.0,-20.0,4
2016.02.16 17:30,closesell,0.1,80.81,-6870.0,0.0,-20.0,4
2016.02.17 04:22,closebuy,0.1,81.167,2000.0,0.0,-20.0,4
2016.02.19 02:15,closesell,0.1,80.827,-6150.0,62.0,-20.0,4
2016.02.22 10:08,closebuy,0.1,81.102,-5950.0,0.0,-20.0,4
