metric,value
deposit,1600000.0
netProfit,-38689.0
netPct,-2.4180625
profitFactor,0.9879686823143145
trades,1029
maxDDpct,10.925135358707314
expectancy,-37.598639455781964
nYears,11
posYears,6
posFrac,0.5454545454545454
worstYearPct,-8.18675
score,-36.804328540525496
YEARS,
2016,-3232.0
2017,16671.0
2018,-66682.0
2019,58203.0
2020,-84208.0
2021,127327.0
2022,55014.0
2023,-130988.0
2024,45030.0
2025,20901.0
2026,-34862.0
