metric,value
deposit,1600000.0
netProfit,1448266.0
netPct,90.51662499999999
profitFactor,1.323770156467619
trades,1052
maxDDpct,9.479049652527504
expectancy,1376.6787072243344
nYears,11
posYears,9
posFrac,0.8181818181818182
worstYearPct,-0.6845625
score,62.52631966565431
YEARS,
2016,211748.0
2017,125790.0
2018,33922.0
2019,144418.0
2020,-2417.0
2021,10386.0
2022,328111.0
2023,155892.0
2024,330985.0
2025,190566.0
2026,-10953.0
