metric,value
deposit,1600000.0
netProfit,-952915.0
netPct,-59.5571875
profitFactor,0.9382107812416617
trades,1671
maxDDpct,77.17396524399865
expectancy,-570.2663076002387
nYears,11
posYears,5
posFrac,0.45454545454545453
worstYearPct,-39.67525
score,-223.271164107635
YEARS,
2016,365404.0
2017,-634804.0
2018,-315356.0
2019,39016.0
2020,-294656.0
2021,-78125.0
2022,145385.0
2023,-31998.0
2024,469106.0
2025,-456400.0
2026,60188.0
