metric,value
deposit,1600000.0
netProfit,3036978.0
netPct,189.811125
profitFactor,1.1172069591566873
trades,1180
maxDDpct,27.897168787755618
expectancy,2573.710169491525
nYears,11
posYears,7
posFrac,0.6363636363636364
worstYearPct,-14.857437500000001
score,48.31941643951711
YEARS,
2016,-82427.0
2017,43065.0
2018,10346.0
2019,325049.0
2020,-226194.0
2021,69542.0
2022,1345388.0
2023,261554.0
2024,2035237.0
2025,-124394.0
2026,-237719.0
