metric,value
deposit,1600000.0
netProfit,3360344.0
netPct,210.0215
profitFactor,1.2219677634076438
trades,1190
maxDDpct,38.8864528869999
expectancy,2823.818487394961
nYears,11
posYears,9
posFrac,0.8181818181818182
worstYearPct,-4.3749375
score,119.82450734027285
YEARS,
2016,200182.0
2017,36761.0
2018,200538.0
2019,493786.0
2020,-69999.0
2021,190770.0
2022,903637.0
2023,376643.0
2024,936246.0
2025,332338.0
2026,-17170.0
