metric,value
deposit,1600000.0
netProfit,-325934.0
netPct,-20.370874999999998
profitFactor,0.9775771867306291
trades,767
maxDDpct,59.48744495051647
expectancy,-424.94654498044434
nYears,5
posYears,3
posFrac,0.6
worstYearPct,-62.6470625
score,-259.65115745051645
YEARS,
2022,266910.0
2023,-88025.0
2024,743713.0
2025,-1002353.0
2026,43820.0
