metric,value
deposit,1600000.0
netProfit,3535789.0
netPct,220.98681249999998
profitFactor,1.3044638563216833
trades,557
maxDDpct,55.65557260283366
expectancy,6347.915619389587
nYears,11
posYears,9
posFrac,0.8181818181818182
worstYearPct,-35.0371875
score,20.040256942620886
YEARS,
2016,-560595.0
2017,128044.0
2018,-47395.0
2019,292652.0
2020,77242.0
2021,86044.0
2022,1163705.0
2023,538571.0
2024,970741.0
2025,927799.0
2026,135808.0
