metric,value
deposit,1600000.0
netProfit,-238383.0
netPct,-14.8989375
profitFactor,0.9734637871189781
trades,1616
maxDDpct,43.06070577933356
expectancy,-147.5142326732675
nYears,11
posYears,4
posFrac,0.36363636363636365
worstYearPct,-19.897000000000002
score,-108.16950123387902
YEARS,
2016,-61261.0
2017,-154634.0
2018,131250.0
2019,-85790.0
2020,-315519.0
2021,112002.0
2022,512853.0
2023,-318352.0
2024,356628.0
2025,-316533.0
2026,-33147.0
