metric,value
deposit,1600000.0
netProfit,335909.0
netPct,20.9943125
profitFactor,1.0591484992548967
trades,1673
maxDDpct,16.90057516932444
expectancy,200.78242677824213
nYears,11
posYears,6
posFrac,0.5454545454545454
worstYearPct,-5.7683125
score,-22.75406948750626
YEARS,
2016,216544.0
2017,-48753.0
2018,-92293.0
2019,43736.0
2020,-33996.0
2021,21807.0
2022,77916.0
2023,-11285.0
2024,263028.0
2025,-74073.0
2026,41453.0
