metric,value
deposit,1600000.0
netProfit,-126710.0
netPct,-7.919375
profitFactor,0.9427723372380867
trades,1218
maxDDpct,12.416384849818957
expectancy,-104.03119868637116
nYears,11
posYears,3
posFrac,0.2727272727272727
worstYearPct,-5.104625
score,-29.890089395273503
YEARS,
2016,-81674.0
2017,-22457.0
2018,10054.0
2019,-35516.0
2020,73810.0
2021,-19007.0
2022,-44619.0
2023,44613.0
2024,-7913.0
2025,-2459.0
2026,-14574.0
