metric,value
deposit,1600000.0
netProfit,9035272.0
netPct,564.7045
profitFactor,1.4155072095803558
trades,580
maxDDpct,15.531840456962644
expectancy,15578.055172413791
nYears,11
posYears,10
posFrac,0.9090909090909091
worstYearPct,-64.940625
score,303.01401181576466
YEARS,
2016,309162.0
2017,246189.0
2018,257922.0
2019,777955.0
2020,533650.0
2021,103631.0
2022,1624885.0
2023,245779.0
2024,2419868.0
2025,3924442.0
2026,-1039050.0
