metric,value
deposit,1600000.0
netProfit,903677.0
netPct,56.4798125
profitFactor,1.1550533812775097
trades,1481
maxDDpct,10.894259516090868
expectancy,610.1802835921675
nYears,11
posYears,9
posFrac,0.8181818181818182
worstYearPct,-1.901875
score,29.610871165727318
YEARS,
2016,62335.0
2017,55286.0
2018,23720.0
2019,124399.0
2020,-30430.0
2021,44316.0
2022,269489.0
2023,71470.0
2024,309277.0
2025,82912.0
2026,-24886.0
